id,review,address,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,keyword
1720005,You want free entrance? Then go to this place and plunge into warm sea water in a cold weather.You will love the view and be amazed how the nature formed these rocks.The place is not so crowded by the time I visited this place.Going solo into this place. I met a kind Ajussi who lives in Jeju. He guided me to reach the top of the rock formation. He always come to this place to see dolphins and observe sunset.,제주 서귀포시 서홍동  766-3,제주 서귀포시 서홍동  766-3,157949,-28020,정좌표,5.01E+18,구주소,,제주특별자치도 서귀포시 서홍동 766-3,63594,5013058000,서홍동,5013010600,서홍동,water
410050,You need to pay 2000 Korean dollars to have a sight of this waterfalls. It's not a lot of money so it's good,제주 서귀포시 천지동 667-7,제주 서귀포시 천지동 667-7,158899,-27840,인근좌표,50130,구주소,,제주특별자치도 서귀포시 천지동 667-7,NULL,5013054000,천지동,,,water
300282,You have to go down to get the waterfall. Entrance fee is 3k won. Crowded with people. The waterfall is quite beautifull as it,제주 서귀포시 칠십리로214번길 37,제주 서귀포시 칠십리로214번길 37,160134,-27832,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278,63599,5013051000,송산동,5013010500,동홍동,water
170095,You cannot see the water in the crater because its dry better to go there on Winter... But a must place to visit also when your in Jeju.,제주 제주시 조천읍 비자림로 768,제주 제주시 조천읍 비자림로 768,170953,-6828,정좌표,5.01E+18,새주소,제주특별자치도 제주시 조천읍 비자림로 768,제주특별자치도 제주시 조천읍 교래리 342-2,63346,5011025900,조천읍,5011025929,조천읍 교래리,water
1000098,Yakcheonsa Temple is thought to be Asia?셲 largest Buddhist temple. The main temple has one storey below ground and five stories above with a floor area of  more than 175 sq m and a ceiling height of 29 metres. The Main Hall has 18000 Buddha statues and receives many worshippers for its medicinal waters. Monks were praying and chanting when we were there - I liked it very much.,제주 서귀포시 이어도로 293-28,제주 서귀포시 이어도로 293-28,148606,-27671,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 이어도로 293-28,제주특별자치도 서귀포시 대포동 1161,63543,5013061000,중문동,5013011400,대포동,water
1040046,Wow wow wow!! This beach is absolutely stunning!! We enjoyed it while staying at the Hyatt Regency. It wasn't packed at all on the side of the hotels side but there was an area roped away that had more people. It was so beautiful and although the water was cold it was still enjoyable. Must go if in Jeju!,제주 서귀포시 색달동 3039,제주 서귀포시 색달동 3039,144623,-27466,정좌표,5.01E+18,구주소,제주특별자치도 서귀포시 중문관광로72번길 75,제주특별자치도 서귀포시 색달동 3039,63535,5013062000,예래동,5013011900,색달동,water
300443,Worth a visit to this waterfall. The waterfall on one side and the sea on the others!,제주 서귀포시 칠십리로214번길 37,제주 서귀포시 칠십리로214번길 37,160134,-27832,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278,63599,5013051000,송산동,5013010500,동홍동,water
410149,Wonderful waterfall with an easy walk down toward it.  The path is well marked and is usually quite busy.  Would definitely visit again,제주 서귀포시 천지동 667-7,제주 서귀포시 천지동 667-7,158899,-27840,인근좌표,50130,구주소,,제주특별자치도 서귀포시 천지동 667-7,NULL,5013054000,천지동,,,water
70006,Wonderful beach in Jeju island. Very clear water. Amazing colors and good vibes all around. You can spend here one day to have relax and chill out. And If you want you can walk around. There are close to the beach a lot of restaurants and caf챕s,제주 제주시 한림읍 협재리 2497-1,제주 제주시 한림읍 협재리 2497-1,129120,-11269,정좌표,5.01E+18,구주소,,제주특별자치도 제주시 한림읍 협재리 2497-1,63011,5011025000,한림읍,5011025031,한림읍 협재리,water
850004,With a minimal fee of KRW10k one gets to kayak along the stream for 20 mins. The water is clear and deep. Each wooden kayak can only take 2 passenger with only one person rowing. The catch is the ticket counter is a distance away from the port. And the best time to go is on a weekdays. Weekends are usually crowded.,제주 서귀포시 쇠소깍로 104,제주 서귀포시 쇠소깍로 104,164737,-26796,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,63600,5013055000,효돈동,5013010800,하효동,water
1000007,While visiting a friend who works in Jeju my family drove around to visit places casually with a flexible schedule. We planned to visit the temple for half an hour but stayed more than an hour. The name of the temple means medical spring and the flowing water from a 3-dragon-head fountain next to the temple store tasted good and sweet. Although the temple was built for only around 20 years the buildings and layout followed the traditional design. The main building faces exact south that can view the sea. The bell tower is located in the east for sunrise and the drum tower is located in the west for sunset. The main building's first floor wooden windows are beautifully carved with inspiring stories covered by traditional white paper but not glass. There is a traditional Korean painting exhibition of Buddha of Compassion in the basement and it's gorgeous. The best part of our visit was that not many people around. We got the chance to enjoy the quietness and even used the mats inside the temple at the back of the first floor to meditate a short while. There are grapefruit trees in the yards along the way to bathroom.,제주 서귀포시 이어도로 293-28,제주 서귀포시 이어도로 293-28,148606,-27671,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 이어도로 293-28,제주특별자치도 서귀포시 대포동 1161,63543,5013061000,중문동,5013011400,대포동,water
630004,While its really small against Western style theme parks we enjoyed an afternoon on the rides.  Also if you arw a US military service member or have a military ID (they don't know the difference between a dependent or soldier) you can get an amazing deal.  It was 9k won for 2 day combo pass for the theme park and the water park!!! Which is usually 39k won.  There is also a discount if ypu are staying at one of the resort hotels.  The park was clearly designed by someone who has visited and studied the Disney parks specifically Tokyo Disney Sea.  Which isnt a bad thing just needed to be mentioned.  This was our 2nd visit and have never had to wait in a line for the rides.  Also the rides are enjoyable the staff is friendly & helpful and the park is very well maintained.,제주 서귀포시 안덕면 신화역사로304번길 98 신화테마파크,제주 서귀포시 안덕면 신화역사로304번길 98 신화테마파크,136014,-20959,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,제주특별자치도 서귀포시 안덕면 서광리 산 35-16,63521,5013031000,안덕면,5013031027,안덕면 서광리,water
2080005,When going into the falls we thought it was just to see the one water fall  the trails lead to several spots and additional falls. It was so gorgeous and a beautiful hike. There was a lot of stairs  and I did see some tiny kids really struggling at the last falls area. The even had a warning sign for elderly and children that the climb was difficult. It was not bad for my family and children but I could see how others may struggle.,제주특별자치도 서귀포시 천제연로 132 중문관광단지 내,제주특별자치도 서귀포시 천제연로 132 중문관광단지 내,145728,-26890,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 천제연로 132,제주특별자치도 서귀포시 중문동 2232,63546,5013061000,중문동,5013011200,중문동,water
20747,What a beautiful walk.  The walk up is on one side of the hill and the walk down is on another so there are fantastic views to be enjoyed.  It took me a half hour to go up the 180 meters and I am in good shape.  Take water and sunscreen.,제주 서귀포시 성산읍 성산리 1,제주 서귀포시 성산읍 성산리 1,194578,-4214,정좌표,5.01E+18,구주소,,제주특별자치도 서귀포시 성산읍 성산리 1,NULL,5013025900,성산읍,5013025921,성산읍 성산리,water
100050,Went with my son and husband on a very hot day! Park well laid out with several drink food and shade stops on way round! We spent a few hours to see it all! Caves were a highlight - very interesting and cool!! Reptiles and birds ok - not my thing! Enjoyed water area especially cold showers we could stand under :-)) overall a good place to visit and see a range of sights! Easy to get to on main coastal bus route Enjoy,제주 제주시 한림읍 한림로 300,제주 제주시 한림읍 한림로 300,129174,-11608,정좌표,5.01E+18,새주소,제주특별자치도 제주시 한림읍 한림로 300,제주특별자치도 제주시 한림읍 협재리 2487,63011,5011025000,한림읍,5011025031,한림읍 협재리,water
1750034,Went there since it was near the waterfall. The bridge is quite nicely lighted up during the night. We were there for 10 mins. Nothing much just the bridge during the winter night.,제주특별자치도 서귀포시 서홍동 707-4,제주특별자치도 서귀포시 서홍동 707-4,158810,-28516,정좌표,5.01E+18,구주소,,제주특별자치도 서귀포시 서홍동 707-4,63594,5013058000,서홍동,5013010600,서홍동,water
300452,Well worth the small trek down.  Do a little rock/boulder hopping to the base and you can get a nice spray.  If you catch this waterfall during the rainy season or after a good rain it will be much more powerful.  Take the time to visit this place...maybe a little crowded but plenty of space to find your own spot.,제주 서귀포시 칠십리로214번길 37,제주 서귀포시 칠십리로214번길 37,160134,-27832,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278,63599,5013051000,송산동,5013010500,동홍동,water
810101,Well this place was big. Need to prepare to walk if you're going at non-peak hours. Why? due to the train not moving. This place features Korean village cultural show donkey / house riding costume trying & a beautiful setting to get some nice pictures. We enjoyed solid 1-2hours walking. But having to travel with small kids its quite tiring. Anyway the replicas of houses & setting was great. Enjoyed buying some quality souvenir at the gift shops. My kids just love the small maze park. I don't op for a tour guide but a head set was just enough for us to make us understand the place.One thing for sure they're snakes wandering around the place. While walking we come across 2 snakes (small). My kids was terrified! So need to be extra careful for those who bring little kids. Another set back was the small shop selling fast food. I know there's a barrier problem in language but they seem to ignore foreign tourist due to the fact we cant communicate well with each other. Very hard to buy stuff. Water! walking makes you thirsty. Pro's :- The head set helps to understand the place even-though not so many point haves explanation. Perhaps its an area for improvement.Con's :- Snakes? YikesOverall the place was ok. But will not come again..,제주 서귀포시 표선면 민속해안로 631-34,제주 서귀포시 표선면 민속해안로 631-34,185162,-19298,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 표선리 40-1,63629,5013032000,표선면,5013032021,표선면 표선리,water
