id,review,address,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,keyword
830013,We finally got a good clear day.Yesterday at Sunrise Mountain we had been in the clouds.  Some nice views down the coast. Not a terrible tough or long hike to get to the end of the trail with a small temple cave. Number of mostly coffee shops at the bottom and bathroom facilities.,제주 서귀포시 안덕면 사계리 산 16,제주 서귀포시 안덕면 사계리 산 16,135985,-27964,정좌표,5.01E+18,구주소,,제주특별자치도 서귀포시 안덕면 사계리 산16,NULL,5013031000,안덕면,5013031025,안덕면 사계리,cave
830001,Sanbangsan Mountain is a wonderful bell-shaped huge body of lava situated nearby the ocean. At few places it stretches into the ocean where majestic rock structures can be seen. Almost vertical cliffs with columnar joints at this mountain are impressive. This mountain is visible from almost everywhere in the southwest plains of Jeju. Also the legend associated with this mountain is very interesting. According to the legend it was plucked out from the Hallasan Mountain peak by the angry Emperor when he got hit by a misfired arrow that was shot to white deer. Interestingly it is said that the circumferences of the Sanbangsan Mountain and the crater at Hallasan are of similar size. The Jeju Olle Trail Route 10 is connected to this mountain by stairs. A Buddha temple huge Buddha statue and the caves on this mountain are very beautiful.  This mountain along with nearby Yongmeori Coast are highly recommended especially to those who love coastal cliffs and interesting rock formations.,제주 서귀포시 안덕면 사계리 산 16,제주 서귀포시 안덕면 사계리 산 16,135985,-27964,정좌표,5.01E+18,구주소,,제주특별자치도 서귀포시 안덕면 사계리 산16,NULL,5013031000,안덕면,5013031025,안덕면 사계리,cave
60175,Arrived an hour and a half before closing. The trails starts with a relatively step decent and the walk thru the lava tube is a 1km walk in and 1 km walk back. The lava tube cave is spectacular. Signs were available to help us learn about the the lava tube. An easy walk but need to be careful on certain section of the party as we were walking on wet lava rock. Well worth the drive there!!!,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 만장굴길 182,178604,3574,정좌표,5.01E+18,새주소,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 월정리 산 41-5,63348,5011025600,구좌읍,5011025626,구좌읍 월정리,cave
60663," You know that line movie critics love to use when it comes to B-grade chick flicks?   Have low expectations, then you'll enjoy it.   The same can be said of Manjang Cave.The lava tube was not as spectacular as I expected it to be, but it did offer a few interesting sights here and there. Walking all the way to the end of the trail and back took about an hour, but if you walk quickly, you can complete the journey within thirty minutes.Take note that the ground is wet and rocky, so be sure to wear your walking shoes. Also, it can get quite cold, so a jacket would most certainly come in handy. For photography lovers, you may not fancy the fact that it's a bit dark in the cave, but there's nothing a few adjustments here and there can't do!Facilities include, but are not limited to, souvenir shops, toilets and lockers. Bear in mind though that there are no toilets in the cave itself. Tickets are cheaper for children, but you'll need passports for proof!If you're spending more than a day in Jeju, you may want to consider checking this place out. If not, you're better off exploring other places such as the Hallasan National Park. ",제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 만장굴길 182,178604,3574,정좌표,5.01E+18,새주소,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 월정리 산 41-5,63348,5011025600,구좌읍,5011025626,구좌읍 월정리,cave
100112," Well, there were some photo-taking opportunities at the folk village (in the centre), a small waterfall etc. There's a bird section that comprised of a couple of parrots being kept in a small cage, and some other depressing-looking birds. Possibly some animal section (can't remember what they call it), with some big tortoises etc, and a lizard?Skipped the lava cave section as we had gone to see the other, more famous Manjang cave.Some tropical garden that was disappointing in terms of plant variety and   rare   factor. The bonsai garden is another major disappointment. We stepped into a big, totally un-aesthetic tent, with bonsai pots laid out on tables like goods in a warehouse. At the other end of the tent, a trail led out into what seemed like an unkempt garden with just trees, so we didn't bother to go check it out. We wanted to check out the flower garden but we must have missed the entrance path along the way - no signboard, no entrance and no sign of flowers (maybe they don't bloom in October?). We just did a cursory walk around the park and made our escape after an hour.I seldom recommend my own country to other travelers, but if anyone wants to visit an interesting garden, Gardens by the Bay in Singapore is so much better than the gardens at Hallim Park. I'm quite puzzled why this has such good reviews, but you can always visit it and be your own judge. ",제주 제주시 한림읍 한림로 300,제주 제주시 한림읍 한림로 300,129174,-11608,정좌표,5.01E+18,새주소,제주특별자치도 제주시 한림읍 한림로 300,제주특별자치도 제주시 한림읍 협재리 2487,63011,5011025000,한림읍,5011025031,한림읍 협재리,cave
60082," To be honest, it?s quite dark and your attention will be used on minding your steps rather than looking up. Rocky slippery trails and it?s 2km in total, in and out the same way. Worth a visit once as its not often you get to trek in a lava cave. Would recommend warmer clothes and proper footwear. ",제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 만장굴길 182,178604,3574,정좌표,5.01E+18,새주소,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 월정리 산 41-5,63348,5011025600,구좌읍,5011025626,구좌읍 월정리,cave
60602," This is enormous highly worthwhile visiting. While I've visited caves around the world this is the first time I've seen lava tubes. They are huge you could drive a semi trailer through most of them. Defiantly worth seeing just for this aspect.It's quite wet on the floor of the cave, while you won't get wet, there are puddles of water. The ground is extremely uneven in places so good footwear is essential.There is heaps of signage in English on how they were formed.Highly worthwhile. ",제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 만장굴길 182,178604,3574,정좌표,5.01E+18,새주소,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 월정리 산 41-5,63348,5011025600,구좌읍,5011025626,구좌읍 월정리,cave
60497," The UNESCO Lava Tube. Beautiful in the tube. Can get to see the trail of lava movement,  the moulden formation. It is common to visit caves, but a lava tube, is rare. ",제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 만장굴길 182,178604,3574,정좌표,5.01E+18,새주소,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 월정리 산 41-5,63348,5011025600,구좌읍,5011025626,구좌읍 월정리,cave
60037," The temperature inside the cave is between 13 and 16 degrees celsius despite outside summer weather. Hence it is good if you can bring along a sweater or jacket. Also bring something to protect your head from the cold cave droplets. Overall, it is a wonderful experience to explore this amazing cave. Look for the iconic turtle rock as well as the large column rock at the end of your 1km trail. ",제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 만장굴길 182,178604,3574,정좌표,5.01E+18,새주소,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 월정리 산 41-5,63348,5011025600,구좌읍,5011025626,구좌읍 월정리,cave
250138," The Seongeup Folk Village was a walled-in village in the southeast of the island where stone homes showed the construction, culture and lifestyle of the island?s people long ago.Obviously, Jeju wants to maintain some type of historical reference to the old lifestyle.  Our tour guide made it interesting by talking about some practical aspects of the design of the huts (how it was heated, how it was built, etc), but this just wasn't my thing.  In fact, several families that help with the upkeep of the huts actually live in other huts in the community.  That said, those huts have modern adjustments like windows, electric power, etc so even they have moved beyond the   old ways  .  The village had a few shops and a restroom and outside the village was a convenience store with drinks available and another restroom. For me, the bottom line was - I would have preferred to spend the time at a natural landmark (waterfall, cave, hiking trail, etc) instead of doing this, but it was part of an all day tour.  There are simply too many other options to see in Jeju for this to make it to the top of the list, unless it is your   thing  . ",제주 서귀포시 표선면 성읍리 3294,제주 서귀포시 표선면 성읍리 3294,180172,-12163,정좌표,5.01E+18,구주소,,제주특별자치도 서귀포시 표선면 성읍리 3294,63624,5013032000,표선면,5013032023,표선면 성읍리,cave
