id,review,address,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,keyword
1940005,Your constructive feedback is going to be shared with relevant department  and we will do our best to improve our service level and products for the comfort of our guests. We hope for the opportunity to have you back with us again  should your travels bring you back to the beautiful island of Jeju.,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,136322,-20890,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,63522,5013031000,안덕면,5013031027,안덕면 서광리,art
350287,You would believe these rocks are the art work of mother nature until you visit it. We saw heayon (women diver) in action near the cliff. Good place.,제주 서귀포시 이어도로 36-24,제주 서귀포시 이어도로 36-24,146470,-28414,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 이어도로 36-24,제주특별자치도 서귀포시 중문동 2757-10,63547,5013061000,중문동,5013011200,중문동,art
780005,you should read the story of this museum.it comes to live cos there is a dream.it has a sharp appearance a vibrant red exterior in jeju when comparing with those surrounding buildings.the art pieces in the museum is nice but i do appreciate the way that the owner makes this museum as an art piece more.To renovate rather than destroy and rebuild keeping the scratches of time and inject the modern art atmosphere into this old building.although you may think the entry free maybe a bit high but it still worth to visit.the cafe and souvenir shop at top floor also nice to stay awhile.,제주 제주시 탑동로 14,제주 제주시 탑동로 14,155644,2430,정좌표,5.01E+18,새주소,제주특별자치도 제주시 탑동로 14,제주특별자치도 제주시 삼도이동 1261-8,63165,5011056000,삼도2동,5011010600,삼도이동,art
3040003,You need to present a copy of your identification before you are allowed into the range. At 35K Won it is not exactly the cheapest range in the world but it is cheaper than Seoul for sure.There are a variety of handguns to choose from and apart from the tacky advertisements on the wall it is actually quite a secure and well maintained range.Weapons are chained to the wall for safety and only the staff can tap you in or out. Good quality 3M earphones are used. There is also a selfie stick attached for you to take your pictures. Unfortunately the staff inside the range does not speak english (only the receptionist does basic english). However they do a pretty good job of demonstrating how to handle the weapon showing you on the screen where your shot have landed after each shot.After the shoot the receptionist will total up your score and pack your score sheet for you to bring it home as a souvenir. The hot tip is to book via Klook or Trazy and hunt for discounts instead of paying for the full price.Overall we enjoyed our shoot very much. Had it been cheaper we would definitely have another go.,제주특별자치도 서귀포시 소보리당로164번길 62 중문랜드3층,제주특별자치도 서귀포시 소보리당로164번길 62 중문랜드3층,142657,-25636,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 소보리당로164번길 62,제주특별자치도 서귀포시 상예동 2802,63537,5013062000,예래동,5013012000,상예동,art
60675,You can go underground and experience the cold temperatures close to 12 degrees.. its like walking through an igloo.. Cold air everywhere and some parts are wet due to the precipitation though the soil. Reminder to bring a jacket and good shoes as floor is slippery and area is dark! Very good experience!,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 만장굴길 182,178604,3574,정좌표,5.01E+18,새주소,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 월정리 산 41-5,63348,5011025600,구좌읍,5011025626,구좌읍 월정리,art
80350,wow Amazing view in summit. I choose seongpanak route.. start 6.00am morning in jeju bus terminal bus number is 781蓆썅ⓒ釋釋ⓒ蓆긍떳 蓆蓆긍釋. 蓆蓆蓆긍蓆 蓆뷕떡釋蓆 6.00am 蓆뜩ⓒ釋 蓆蓆 蓆닮蓆㏅땟釋 釋?釋蓆긍?釋. 蓆뜩ⓒ釋 蓆㏅떻釋蓆멘蓆긍떽釋 蓆蓆 蓆썅釋蓆긍蓆 蓆멘蓆㏅蓆썅 蓆蓆蓆釋 蓆뜩蓆釋 蓆蓆삑蓆긍蓆 蓆닮蓆썅釋?蓆긍. 12.00 蓆 蓆蓆썅蓆긍 蓆蓆긍蓆 蓆멘蓆 釋\釋蓆썅蓆㏅떻釋 蓆蓆蓆 蓆뷕떡釋蓆 釋?釋蓆긍?釋 蓆긍蓆蓆긍蓆긍 蓆蓆떡釋蓆긍 蓆釋＿?釋蓆 蓆蓆멘떡釋 蓆蓆삑떡釋蓆 蓆蓆긍蓆긍 蓆긍. (  蓆닮떻釋釋ⓒ蓆삑떵蓆 蓆蓆긍?釋\釋?蓆 蓆釋?蓆썅 蓆蓆釋 蓆蓆삑떡釋蓆 蓆蓆닮. 蓆釋蓆긍 蓆蓆긍蓆 蓆뜩蓆釋 蓆蓆蓆釋 蓆釋蓆긍蓆뷕떡釋蓆),제주 제주시 1100로 2070-61,제주 제주시 1100로 2070-61,152889,-11443,정좌표,5.01E+18,새주소,제주특별자치도 제주시 1100로 2070-61,제주특별자치도 제주시 해안동 산 220-13,63077,5011065000,연동,5011013900,해안동,art
800031,Wow a brilliant fun dayloads of pic opportunity for all ages spent ages taking pics just great fun and lots to see and participate inparking easy and we got a taxi very easily afterthere's a go kart place just nextdoorplease visit if in jeju and would be a great place if raining to take the children easy spend an hour or more.,제주 서귀포시 중문관광로 42,제주 서귀포시 중문관광로 42,144876,-26642,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 중문관광로 42,제주특별자치도 서귀포시 색달동 2629,63535,5013062000,예래동,5013011900,색달동,art
670017,Would have been much fun if you visit this place during warm weather. I havent done any of their tea classes but if you want to take the class make sure to reserve the spot. They have pretty famous tea/souvenir store. Expensive but it will be a great gift for loved ones. If you like green tea flavor try their ice creams! Or they offer ice cream roll cake and other drinks. The museum part was very short where I thought it was bit disappointing. But worth the visit.,제주 서귀포시 안덕면 신화역사로 15 오설록,제주 서귀포시 안덕면 신화역사로 15 오설록,133793,-20885,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리 1235-1,63521,5013031000,안덕면,5013031027,안덕면 서광리,art
1810004,Worth visiting and spending a few hours enjoying many artifacts made of glass! Full of suggestions to bring back home for gifts!,제주특별자치도 서귀포시 중산간서로 1403,제주특별자치도 서귀포시 중산간서로 1403,141236,-24017,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 중산간서로 1403,제주특별자치도 서귀포시 상예동 4303,63534,5013062000,예래동,5013012000,상예동,art
1920024,Worth to visit  classy  fine art. This is an underrated destination  we do recommend it for adults looking for art and nature,제주특별자치도 서귀포시 태평로 284,제주특별자치도 서귀포시 태평로 284,158140,-27523,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 태평로 284,제주특별자치도 서귀포시 서홍동 557-1,63594,5013054000,천지동,5013010600,서홍동,art
