id ,review,address,,
10001,"Had a blast riding the moto bikes around the island, bring all your documentation, drivers license etc.",제주 제주시 우도면,,
10002,"Best nature, fresh air and photographic views. Easy to go there, and local travel expenses are so low (if you use public transportation  like bus and ship). You should rent a bike and explore freely the whole island.",제주 제주시 우도면,,
10003,"We had a fine time on Udo Island, where we rented one of the funny little electric cars and were able to see most of the island. It's better to arrive earlier in the day then we did, so you can spend time enjoying that Charming Island. Another highlight was feeding the seagulls with chips you can buy for $2 on the ferry.",제주 제주시 우도면,,
10004,It has good scenery on the water there is a bus tour that took you all around the island and they have crystal clear beaches.,제주 제주시 우도면,,
10005,"What a fun little island! Exploring the island on a motorized bike/trike was an awesome experience. To rent the trikes an international class A drivers license is needed (US Military living in Korea can use your ID card and Korean drivers license). No license is needed for the motorized 2-wheeled bikes. This is the easiest way to travel the island making frequent stops to see the scenery or stop at one of the many cafes or restaurants. We saw tour busses, and a few regular cars, but seems like the majority of visitors chose the motorized trike to see the island. The ferry from Seongsan Port on Jeju to  Cheonjin Port on Udo runs every 30 minutes and the ride was about 15 minutes. There was an air-conditioned room on the upper deck but it was floor seating only. It is possible to see the whole island in a few hours.",제주 제주시 우도면,,
10006,"Udo, which means cow island because of its shape, has been a popular island trip from the island of Jeju.  Taking about three to four hour to circle on an electric bike, it s a great day trip (there are plenty of lodgings for those who want to stay longer).  With only a handful of full size cars on its road, it s a fantastic place to ride a bike around.  Also, for a small island, the amount of dining and cafe options are impressive. Just going around to sample some cafes and restaurants can easily fill up a full day on Udo.  As the island is famous for peanuts, there are lots of peanut flavored products available ranging from ice cream to makgeolli (Korean traditional wine).",제주 제주시 우도면,,
10007,lot of things to do in the island!  No matter you want to eat the Hallasan Fried Rice with a complimentary funny cooking show or walk around and enjoy the scenery,제주 제주시 우도면,,
10008,"We took a taxi from our hotel in Jeju City, which took about an hour, to the Ferry Terminal. It was pretty easy to buy the ticket. Once we got to the island, it wasn't really clear what to do, so we followed everyone to a small building that was selling bus tour tickets. We didn't get the bus we wanted, though they both seem to just drive around the island and you can hop on and off. We found out later that we could have rented a little tricycle moped. We enjoyed ourselves. Worth the trip.",제주 제주시 우도면,,
10009,"we went here early morning but already have a lot of visitor. The ferry very convenient, when you in ferry terminal, remember need to fill up a form (like immigration) total 2 sheets and need to keep it because need to check when you return. around 20 mins will be arrive. Udo is very big and beautiful Island, have a lot of local culture and you can spend at least half day to visit. Trips: Although have a lot of restaurants but the price have a little bit higher.",제주 제주시 우도면,,
10010,"The island is beautiful, yet very cold especially in winter time. We aimed for halla rice and peanut ice cream. Just the shop near the port has peanut ice cream (not just putting nuts on that!). We used the sightseeing bus and by foot to travel around the island.",제주 제주시 우도면,,
10011,"If you are travelling with small kids, i suggest to drive a car into the island. (They allow car to enter the island if having kids below 6 years old), really regret that we park our car at the multi storey parking, with all the high hope to rent a electric scooter (the one with 3 wheels)The electric scooter is strictly for 2 person only (they dont allow 2 adult + 1 baby too)Only those with Class A international license allow to rent the electric scooter (i am a Class B international license holder (allowed to drive car only)If you plan to travel the island by bus, it will waste lots of time on queueing and waiting for the bus. The bus driver will not explain any tourist spot in english, so you will have a hard time to decide which is the good spot to get down from the bus.Overall the island has nothing special with we are not allow to ride the electric scooter and generally the island is too crowded with tourist.",제주 제주시 우도면,,
10012,"we rent the bicycle for island sightseeing.It was fun, relax and enjoy. The food was delicious, peanut ice cream was good.",제주 제주시 우도면,,
10013,"But too overcrowded by visitors even at September! :)Possible to rent bicycle or scooter (electric or usual) or quadro-unit and make your trip around the island (but you need actual international driver license with correct category!).It's big enough for walkers.Very small and narrow road all around island - be very, very, very careful as main part of drivers are young people with very little experience of driving and winds in their heads (sorry, but true!) :)",제주 제주시 우도면,,
10014,Beautiful coastal scenery and  transportation is very accommodating and flexible. Various stop worth staying for pictures taking.,제주 제주시 우도면,,
10015,A very pretty island which u must go.We rented the motor biking which do not request you to have a driving licence.You can have close connection with the natural environment and the whole experience is amazing. Peanut ice cream is also another must try item there,제주 제주시 우도면,,
10016,"Udo Island is one of the most beautiful places on earth. The island is surrounded by charming beaches and coastline. Just felt that a day trip here is not enough. Be sure to try its delicious peanut ice cream, peanut smoothie and peanut pizza! You can also rent a tuk tuk like tricycle around the island. A must visit indeed! :)",제주 제주시 우도면,,
10017,"So we saw great reviews and some great pictures online. Thought this was a must see place. To be fair, the island has some real potential to be fantastic, however it was a hot August day, it was getting very crowded.Highlights:- some really nice sights to take in and you can tour the whole island in about 4hrs (including stops along the way)- one let we went for a walk and ran into some people camping. Very pleasant and offered us coffee. We hadn t encountered too many people willing to go out of their way, so was a nice touch. - took a high speed boat ride around the cliff that looks like the cow laying down (hence the name cow island). That was great and worth the 30k KRW for two adults.Low points:- way too much garbage around. Just about every beautiful sight is ruined by plastic bottles and litter. - a lot of areas were closed like it was low season (or maybe we were just early in the day)- lots people standing around endlessly. Got a little frustrating at times. Advice if you do go:- we took the bus. It was good, but we were on a bus schedule. If I did it again, I would have rented a small electric vehicle (which needs an international driving license to rent). Not sure if the cost, but they looked fun and you control your own timeline then.",제주 제주시 우도면,,
10018,"In short, you will be walking/driving with chaotic buses, motor cycles, bicycles, walkers & rental cars in single lane. Terrible visit.",제주 제주시 우도면,,
10019,"We took the ferry at around 9:30am. 15 min rides and we are there. Since we did not have our international driving license, we can only rent the electric tandem bicycle which was great for the kids.Cycling around the island is around 12km. Just go with the flow and stop at leisure for peanut ice cream.Must stop plave for lunch is ha ha Ho Ho Cafe famed for the burger. The best burger we ever had.We ended our bicycle trip at around 2pm and managed to catch the 2:30pm ferry back.",제주 제주시 우도면,,
10020,you can travel around udo for juz 1 day enjoy the scenery travel juz with bus . but ferry ticket at jetty for tourist u need passport when you buy the ticket.,제주 제주시 우도면,,
10021,"It's a beautiful island just 15mins ferry ride away from Jeju Island. Rented cars are not allowed to travel over so we parked our car at the terminal port in Seongsan. Upon arrival at the port in Udo, you will see a few shops just right infront of the port start promoting their offering on bike rentals. Standard rental is 2hrs (KRW 10,000 per pax) for a standard bicycle. So great to tour around and have the best seafood pot ever along the coastal. Peanut ice-cream is a must have, it is so good! We did not manage to visit any of the recommended sightseeing places due to short of time but we had a great time cycling around taking pictures, along with the beautiful weather. Definitely will return again.",제주 제주시 우도면,,
10022,This is a beautiful island with beautiful beaches and scenaries. You can take the ferries and on the island you can hire a bike or take the round the island hop on bus.,제주 제주시 우도면,,
10023,"It took about 10 minutes to travel on a ferry to visit Udo (thanks to G map)!I decided to walked around the coastline after lunch on arrival.An interesting island with some public arts and you wouldn t stop taking photos!It worth spending some time walking around! (A number of transportation options are available, such as bike, e-bike and bus)!",제주 제주시 우도면,,
10024,Udo island is a nice place to visit enroute to Seongsan llchulbong. The ferry ride took 30 mins to this scenic island made of volcanic rock. On the island there are abundance of seaside food eateries and cafe. Rent a motorized double-seated scooter to travel round the island.,제주 제주시 우도면,,
10025,"This nature island was very nice & the Day trip here was very good option, Biking around was memorable. It's a bit to book ferry round trip & need to check carefully if you don't want to miss it!",제주 제주시 우도면,,
10026,"Easily accessible via 15min ferry from Jeju Seongsanpo harbour, Udo is ideal for a short day trip or sorta those places in Korean dramas whereby couples miss the last ferry and have to wing it for the night). Anyways we made sure to check the ferry schedule. We had 2 hours and decided to walk instead of renting motorised vehicles (didn't have IDL), bicycles (too hot) or tourist hop-on-hop-off bus (too rushed). Other than tourists nearly running down pedestrians and into other vehicles, it's a nice place to explore & hike for nature lovers. Ferry return is a little pricey at –8500 but should be ok if staying over. We tried the peanut icecream but didn't think it was that great. Basically vanilla soft serve with sprinkled peanuts. Perhaps the wrong shop.",제주 제주시 우도면,,
10027,"Come in the morning to avoid large crowds. The island is so peaceful - different from the Jeju mainland. A return ticket costs 8500W. You can see a lot of pension homes here. I rented a regular bike (10000W) and cycled around the island. The path was relatively easy with only very minimal inclination. It took me about 4-5 hours to cover the whole island, together with stops for photographs and visit to the lighthouse. I did not stop for any food though. By the time I left, which was about 2 pm, a large number of people started arriving. Also, parking at the Seongsanhang Port was 8000W, but I got a 50% discount (not so sure why).",제주 제주시 우도면,,
10028,Nice little island to spend the day. If your a foreigner bring your passport with you to buy your ferry ticket.on the island itself you can walk around but by far the most popular way is to rent a bike. Pedal or electric powered that can seat 2 people.You will need a drivers license for the electric one though. Cute little beaches around and you can stop off and try some of the peanut ice cream which Udo is famous for. Also you can hike up to Udo lighthouse and get a good view from the top and see most of the island. A good way to spend a day,제주 제주시 우도면,,
10029,"In my opinion the best way to go around the island is a bicycle. About 16km. Took us 4h to make it, with stop in every single possible place, including a lunch brake, rest on a beach, etc. Most interesting for us were diving women, we had a chance to see at work in few places. Probably the island is crowded in a season. In May we had good time and enjoy the trip very much.",제주 제주시 우도면,,
10030,I recommend riding the bicycle if the weather permits to enjoy the island fully! It took me about  about 3-4 hours (with picture stops) to complete the whole island and it was a very enjoyable and easy ride.,제주 제주시 우도면,,
10031,"Nice Place to visit for a quick favor of what Jeju is like. However, the place is too commercialized and is expensive. Bus do not go to very single tourist location and you need to walk a fair bit.",제주 제주시 우도면,,
10032,It s a small island but very popular! Very easy to get on the bus to go around the island! Very windy there! Recommend black beach and Cow s head peak!,제주 제주시 우도면,,
10033,We brought our hire car on the ferry over and stayed for about 3 hours. There is some nice scenery however it wasn't enough to justify staying for an entire day.,제주 제주시 우도면,,
10034,"The day were there, there was a big festival going on and all forms of vehicle rentals were not allowed.  So it gave us time to walk and browse around the ferry terminal area.  Many delightful cafes.  Will go back to do the nature trails around the island.",제주 제주시 우도면,,
10035,"We drove to Udo Island by taking the ferry from Seongsanpo Port.  We had to pay ferry charges for the car and the number of persons going to the island. We spent about  6 to 7 hours on the island. While we drove around the island, my daughter & friend rented each a bike when we reached Udo.  Scenery and the beaches in Udo Island are not as nice as in Jeju itself.  The fun parts were riding the e-scooter or bike around the small island, stopping by for the famous peanut ice cream and hiking the udobong peak.",제주 제주시 우도면,,
10036,"Strolling numbers of beaches in Udo or climb the peak of Udobong. Simply taste the peanut ice cream and hallabong ice cream from the various stall along the coastal lines. The local turban shell is a must try in Udo. Getting around is easy either by shuttle bus, ATV, bike ride or just a pair of feet is all you need.",제주 제주시 우도면,,
10037,Spent 6 hr on the island with a car.Lots of things to see and do. Tasty fresh seafood everywhere.Easy drive on car ferry to island.,제주 제주시 우도면,,
10038,It is a must visit place if you are nature lovers. The beaches are so scenic. You could try many fresh seafood dishes. Eat at the icecream stalls overlooking the fields. Canola flowers are everywhere here in April,제주 제주시 우도면,,
10039,"The island offer  you very scenic view. The Bus ride was fun, the driver is indeed funny. You have to try the famous peanut ice cream. We visit few cafes which is very instagramable.",제주 제주시 우도면,,
10040,All the reviews I read of Udo made it sound so beautiful and quaint but I found in reality it was actually rather anti-climactic. The sights don t begin to compare to those on Jeju and while the island is quaint I didn t find it endearing enough to justify the trip over. The peanut ice cream is worth trying though!,제주 제주시 우도면,,
10041,"Nice getaway island. We drove to the passenger terminal, park our car and take the ferry. The ferry ride there was fantastic. We fed the seagulls flying around the boat. it was a spectacular view!To travel within the island, take a bus or pay for a bike..it is a covered bike really cute. Or you can ride a bicycle.We took the bus, need to pay 6k won. There is a ticket office for shuttle bus. Buses numbered k1,k2,k3,rtc..there were 4 stops.the first stop has many actuvities, cafes, restaurants.You can spend an hour or more here. Second stop is lighthouse so we stop too.   The 3rd and 4th stops are the beaches. We did  not get off the  bus  l",제주 제주시 우도면,,
10042,"If you have the opportunity to visit Jeju, please go to Udo Island.Even it is tiny little Island it has quite many things to explore.I learn to ride a horse, try the gu jeng ki (a green shel seafood) and met the hanyeo. The cliff view there also magnificent. I love the peanut dumplings.",제주 제주시 우도면,,
10043,"From the Jejusi bus terminal we took bus 201 to Udo. It took about 1 1/2 hours. Definitely download the app Naver to navigate your way around the island, as Google Maps does not have any results for public transportation. We spent 4 hours on the island. Ferry ride from the port is only about 15 minutes each way. Buying a ticket can be a little chaotic as there are no signs in English but we just held up 2 fingers for two passengers and were given 2 round-trip tickets. Upon arrival in Udo expect to be bombarded with shop owners yelling at you to rent bicycles, ebikes, motorcycles, or 3-wheeled cars (for 2 people). 2 people renting 2 ebikes for 4 hours cost us 40,000 won. Need int l drivers license for the latter 2. I definitely recommend the ebike over the bicycle unless you really want to get strenuous exercise. Lots of hills and 11.4 km of trail to follow. Lots of little mini-towns where you can buy food, have coffee or peanut ice cream (recommend). Tons of photo opps so take your time. We finished in 3 hours, 40 mins (and my hubby wanted to stop A. LOT. Last ferry back to Jeju is at at 5 pm this time of year. Plan accordingly.",제주 제주시 우도면,,
10044,Very nice place for a day trip. Rented a quad bike for half a day at 30000 Won. Beautiful scenery and enjoyed the slow pace at the islands. Tasted their seafood ramyeon in one of the local restaurant. Would recommend to try if you happened to pass by.,제주 제주시 우도면,,
