ID,Review,address
1810001,We arrived at 10am and the place was delightfully empty. The downside was that there was no glassblowing display. However  the walks  the gardens and the exhibits are all interesting and enjoyable. Families of all ages can spend a good hour here.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810002,The area did look older but we still enjoyed the pieces. The indoor pieces were probably my favorite.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810003,The glass museum is well presented and extremely pleasant environment!While the building seems modern and edgy the products are sweet rather than overly modern! If the gift shop is not making a huge profit it is because the gifts seem dated!,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810004,Worth visiting and spending a few hours enjoying many artifacts made of glass! Full of suggestions to bring back home for gifts!,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810005,...but the place itself looks almost abbandoned. Around 10 min walk from the nearest bus stop. Artistic glasswork presented in the park. Probably it's better to visit after dawn - it will be illuminated.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810006,We really enjoyed this part of the weekend. I would even like to return. Superior glass art and plenty of outdoor walking through the facilities. Highly recommend this be on your short list.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810007,"This was worth the entry fee. There is a nice walking tour of the ""museum"". It was interesting to see all the glass displays in the forest. We really enjoyed the walk through the exhibits",Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810008,Visited this Museum in Dec 2017 with my family. Entrance ticket costs 34 000kwon for 2 adults and 2 children. The place basically is run-down  glasses broken  dirty and colour faded over the years. I didn't bother to check on the cafe inside and left the museum in 15mins. Nothing special in the gift shop as well. Total waste of my money and my time travelled to visit the so called museum. If you intend to visit this Jeju Glass Museum  don't bother!,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810009,I have visited the glass castle on another area of Jeju Island so I was expecting at least something similar or better but nah~ it was disappointing! The glass pieces were looking old and dirty and the artwork of them wasn't that impressive either... It would look better when it is dark I think but not a place to visit during the day..,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810010,I did not expect what I saw at this museum. It's was so pretty. Not a big place but it was worth the trip. I highly recommend this place.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
